,sleep,awake,states
10,0.08870051319648095,0.004662004662004641,[0 0 0]
11,0.07928876678876688,0.046419436240260875,[0 0 0]
12,0.06307189542483668,0.021215596330275255,[0 0 0]
13,0.09610598741033506,0.037553516819571885,[0 0 0]
14,0.054539707897452314,0.054539707897452314,[0 0 0]
15,0.0952586206896551,0.0652173913043477,[1 0 0]
16,0.02176056338028169,0.001824439728792511,[1 0 0]
17,0.029503105590062258,0.03693033854166669,[1 0 0]
18,0.056926480368741046,0.01612903225806452,[1 0 0]
19,0.0580690298507462,0.05797511312217197,[1 0 0]
20,0.053600132946579705,0.07882882882882887,[1 0 0]
21,0.06126526082130978,0.0018484985664704995,[1 0 0]
22,0.0493536444354442,0.002858726211072699,[1 0 0]
23,0.11680116965688057,0.07239760540936302,[1 0 0]
24,0.0527312964812964,0.022203947368421035,[1 0 0]
25,0.09971837197580648,0.001784928358354922,[1 0 0]
26,0.06111111111111121,0.05555555555555567,[1 0 0]
27,0.07156862745098039,0.05756498470948012,[1 0 0]
28,0.09610598741033506,0.07379816513761468,[1 0 0]
29,0.056147540983606484,0.056147540983606484,[1 0 0]
30,0.13689852404245215,0.10144927536231897,[0 1 0]
31,0.012964148527528807,0.001915014750789284,[0 1 0]
32,0.03082658699305313,0.038789682539682485,[0 1 0]
33,0.09154393464702953,0.03225806451612903,[0 1 0]
34,0.09827809036457252,0.07311277616324138,[0 1 0]
35,0.046019156393521866,0.080518018018018,[0 1 0]
36,0.08809265844702657,0.0009242492832352341,[0 1 0]
37,0.043507362784471204,0.007352941176470626,[0 1 0]
38,0.08190234684115281,0.07239760540936302,[0 1 0]
39,0.09647270597991756,0.02220394736842103,[0 1 0]
40,0.07815120394978005,0.0026957308425840185,[0 1 0]
41,0.07928876678876688,0.05208333333333339,[0 1 0]
42,0.06307189542483668,0.4258103975535168,[0 1 0]
43,0.04156954156954175,0.0790339989206692,[0 1 0]
44,0.05902777777777771,0.05902777777777771,[0 1 0]
45,0.1036734338458477,0.08937198067632833,[1 1 0]
46,0.04545454545454549,0.0,[1 1 0]
47,0.09805229417741138,0.062410241874527664,[1 1 0]
48,0.261904761904762,0.03225806451612903,[1 1 0]
49,0.09827809036457252,0.04975490196078436,[1 1 0]
50,0.07442440174039158,0.080518018018018,[1 1 0]
51,0.09594101791660065,0.0,[1 1 0]
52,0.08701472556894241,0.0,[1 1 0]
53,0.052061546852175254,0.0764029458633016,[1 1 0]
54,0.0748387029637029,0.0,[1 1 0]
55,0.09971837197580648,0.0,[1 1 0]
56,0.2777777777777779,0.05208333333333339,[1 1 0]
57,0.09999999999999998,0.375,[1 1 0]
58,0.11606449106449113,0.20000000000000004,[1 1 0]
59,0.1471842744383728,0.1471842744383728,[1 1 0]
60,0.13689852404245215,0.15922619047619052,[0 0 1]
61,0.012964148527528807,0.001915014750789284,[0 0 1]
62,0.015980181697407107,0.10370370370370376,[0 0 1]
63,0.07070389131262289,0.08031614023297494,[0 0 1]
64,0.11599425349906227,0.11934865900383135,[0 0 1]
65,0.04899534686971241,0.09116259116259115,[0 0 1]
66,0.044823212303789356,0.0008990996428750882,[0 0 1]
67,0.039506172839506144,0.002879000865051967,[0 0 1]
68,0.10144545880149815,0.049605567279670665,[0 0 1]
69,0.06259504384504386,0.025110502996212324,[0 0 1]
70,0.08870051319648095,0.0017971538950559665,[0 0 1]
71,0.08301870748299321,0.044715447154471503,[0 0 1]
72,0.06999999999999998,0.058268348623853175,[0 0 1]
73,0.11045184686489032,0.1880014391077537,[0 0 1]
74,0.058333333333333334,0.058333333333333334,[0 0 1]
75,0.09525862068965517,0.30978260869565233,[1 0 1]
76,0.0,0.0,[1 0 1]
77,0.029503105590062258,0.02187500000000002,[1 0 1]
78,0.051144848183175703,0.09374999999999992,[1 0 1]
79,0.11599425349906227,0.0625,[1 0 1]
80,0.09300097362866472,0.3411625911625912,[1 0 1]
81,0.044823212303789356,0.0,[1 0 1]
82,0.0650751152759185,0.0,[1 0 1]
83,0.10356974195322112,0.22819314641744548,[1 0 1]
84,0.04462031024531024,0.0,[1 0 1]
85,0.12223622311827959,0.0,[1 0 1]
86,0.09523809523809516,0.045798248161053115,[1 0 1]
87,0.057549019607843144,0.047499999999999994,[1 0 1]
88,0.19087615283267467,0.18165137614678897,[1 0 1]
89,0.0780737704918033,0.0780737704918033,[1 0 1]
0,0.13689852404245215,0.15922619047619052,[0 0 0]
1,0.019444885274085787,0.005628590652657703,[0 0 0]
2,0.015980181697407107,0.10238095238095242,[0 0 0]
3,0.08636598726393611,0.031088312232628004,[0 0 0]
4,0.0580690298507462,0.07311277616324138,[0 0 0]
5,0.062067923616146985,0.07882882882882887,[0 0 0]
6,0.06126526082130978,0.00547004677833106,[0 0 0]
7,0.043507362784471204,0.007352941176470626,[0 0 0]
8,0.11680116965688057,0.07239760540936302,[0 0 0]
9,0.09647270597991756,0.025110502996212324,[0 0 0]
10,0.08870051319648095,0.004662004662004641,[0 0 0]
11,0.07928876678876688,0.046419436240260875,[0 0 0]
12,0.06307189542483668,0.021215596330275255,[0 0 0]
13,0.09610598741033506,0.037553516819571885,[0 0 0]
14,0.054539707897452314,0.054539707897452314,[0 0 0]
15,0.0952586206896551,0.0652173913043477,[1 0 0]
16,0.02176056338028169,0.001824439728792511,[1 0 0]
17,0.029503105590062258,0.03693033854166669,[1 0 0]
18,0.056926480368741046,0.01612903225806452,[1 0 0]
19,0.0580690298507462,0.05797511312217197,[1 0 0]
20,0.053600132946579705,0.07882882882882887,[1 0 0]
21,0.06126526082130978,0.0018484985664704995,[1 0 0]
22,0.0493536444354442,0.002858726211072699,[1 0 0]
23,0.11680116965688057,0.07239760540936302,[1 0 0]
24,0.0527312964812964,0.022203947368421035,[1 0 0]
25,0.09971837197580648,0.001784928358354922,[1 0 0]
26,0.06111111111111121,0.05555555555555567,[1 0 0]
27,0.07156862745098039,0.05756498470948012,[1 0 0]
28,0.09610598741033506,0.07379816513761468,[1 0 0]
29,0.056147540983606484,0.056147540983606484,[1 0 0]
30,0.13689852404245215,0.10144927536231897,[0 1 0]
31,0.012964148527528807,0.001915014750789284,[0 1 0]
32,0.03082658699305313,0.038789682539682485,[0 1 0]
33,0.09154393464702953,0.03225806451612903,[0 1 0]
34,0.09827809036457252,0.07311277616324138,[0 1 0]
35,0.046019156393521866,0.080518018018018,[0 1 0]
36,0.08809265844702657,0.0009242492832352341,[0 1 0]
37,0.043507362784471204,0.007352941176470626,[0 1 0]
38,0.08190234684115281,0.07239760540936302,[0 1 0]
39,0.09647270597991756,0.02220394736842103,[0 1 0]
40,0.07815120394978005,0.0026957308425840185,[0 1 0]
41,0.07928876678876688,0.05208333333333339,[0 1 0]
42,0.06307189542483668,0.4258103975535168,[0 1 0]
43,0.04156954156954175,0.0790339989206692,[0 1 0]
44,0.05902777777777771,0.05902777777777771,[0 1 0]
45,0.1036734338458477,0.08937198067632833,[1 1 0]
46,0.04545454545454549,0.0,[1 1 0]
47,0.09805229417741138,0.062410241874527664,[1 1 0]
48,0.261904761904762,0.03225806451612903,[1 1 0]
49,0.09827809036457252,0.04975490196078436,[1 1 0]
50,0.07442440174039158,0.080518018018018,[1 1 0]
51,0.09594101791660065,0.0,[1 1 0]
52,0.08701472556894241,0.0,[1 1 0]
53,0.052061546852175254,0.0764029458633016,[1 1 0]
54,0.0748387029637029,0.0,[1 1 0]
55,0.09971837197580648,0.0,[1 1 0]
56,0.2777777777777779,0.05208333333333339,[1 1 0]
57,0.09999999999999998,0.375,[1 1 0]
58,0.11606449106449113,0.20000000000000004,[1 1 0]
59,0.1471842744383728,0.1471842744383728,[1 1 0]
60,0.13689852404245215,0.15922619047619052,[0 0 1]
61,0.012964148527528807,0.001915014750789284,[0 0 1]
62,0.015980181697407107,0.10370370370370376,[0 0 1]
63,0.07070389131262289,0.08031614023297494,[0 0 1]
64,0.11599425349906227,0.11934865900383135,[0 0 1]
65,0.04899534686971241,0.09116259116259115,[0 0 1]
66,0.044823212303789356,0.0008990996428750882,[0 0 1]
67,0.039506172839506144,0.002879000865051967,[0 0 1]
68,0.10144545880149815,0.049605567279670665,[0 0 1]
69,0.06259504384504386,0.025110502996212324,[0 0 1]
70,0.08870051319648095,0.0017971538950559665,[0 0 1]
71,0.08301870748299321,0.044715447154471503,[0 0 1]
72,0.06999999999999998,0.058268348623853175,[0 0 1]
73,0.11045184686489032,0.1880014391077537,[0 0 1]
74,0.058333333333333334,0.058333333333333334,[0 0 1]
75,0.09525862068965517,0.30978260869565233,[1 0 1]
76,0.0,0.0,[1 0 1]
77,0.029503105590062258,0.02187500000000002,[1 0 1]
78,0.051144848183175703,0.09374999999999992,[1 0 1]
79,0.11599425349906227,0.0625,[1 0 1]
80,0.09300097362866472,0.3411625911625912,[1 0 1]
81,0.044823212303789356,0.0,[1 0 1]
82,0.0650751152759185,0.0,[1 0 1]
83,0.10356974195322112,0.22819314641744548,[1 0 1]
84,0.04462031024531024,0.0,[1 0 1]
85,0.12223622311827959,0.0,[1 0 1]
86,0.09523809523809516,0.045798248161053115,[1 0 1]
87,0.057549019607843144,0.047499999999999994,[1 0 1]
88,0.19087615283267467,0.18165137614678897,[1 0 1]
89,0.0780737704918033,0.0780737704918033,[1 0 1]
90,0.32323232323232326,0.34523809523809523,[0 1 1]
91,0.09999999999999999,0.0,[0 1 1]
92,0.03582294018946485,0.21064814814814797,[0 1 1]
93,0.07070389131262289,0.08031614023297494,[0 1 1]
94,0.08459681042228209,0.25,[0 1 1]
95,0.046019156393521866,0.08724796224796232,[0 1 1]
96,0.09594101791660065,0.0,[0 1 1]
97,0.05000000000000003,0.0,[0 1 1]
98,0.07250733137829915,0.07795698924731183,[0 1 1]
99,0.06288526288526286,0.0,[0 1 1]
100,0.07815120394978005,0.0,[0 1 1]
101,0.08301870748299321,0.0793481416957027,[0 1 1]
102,0.09245098039215685,0.08826834862385319,[0 1 1]
103,0.05001912338868822,0.043669724770642224,[0 1 1]
104,0.05902777777777771,0.05902777777777771,[0 1 1]
0,0.13689852404245215,0.15922619047619052,[0 0 0]
1,0.019444885274085787,0.005628590652657703,[0 0 0]
2,0.015980181697407107,0.10238095238095242,[0 0 0]
3,0.08636598726393611,0.031088312232628004,[0 0 0]
4,0.0580690298507462,0.07311277616324138,[0 0 0]
5,0.062067923616146985,0.07882882882882887,[0 0 0]
6,0.06126526082130978,0.00547004677833106,[0 0 0]
7,0.043507362784471204,0.007352941176470626,[0 0 0]
8,0.11680116965688057,0.07239760540936302,[0 0 0]
9,0.09647270597991756,0.025110502996212324,[0 0 0]
10,0.08870051319648095,0.004662004662004641,[0 0 0]
11,0.07928876678876688,0.046419436240260875,[0 0 0]
12,0.06307189542483668,0.021215596330275255,[0 0 0]
13,0.09610598741033506,0.037553516819571885,[0 0 0]
14,0.054539707897452314,0.054539707897452314,[0 0 0]
15,0.0952586206896551,0.0652173913043477,[1 0 0]
16,0.02176056338028169,0.001824439728792511,[1 0 0]
17,0.029503105590062258,0.03693033854166669,[1 0 0]
18,0.056926480368741046,0.01612903225806452,[1 0 0]
19,0.0580690298507462,0.05797511312217197,[1 0 0]
20,0.053600132946579705,0.07882882882882887,[1 0 0]
21,0.06126526082130978,0.0018484985664704995,[1 0 0]
22,0.0493536444354442,0.002858726211072699,[1 0 0]
23,0.11680116965688057,0.07239760540936302,[1 0 0]
24,0.0527312964812964,0.022203947368421035,[1 0 0]
25,0.09971837197580648,0.001784928358354922,[1 0 0]
26,0.06111111111111121,0.05555555555555567,[1 0 0]
27,0.07156862745098039,0.05756498470948012,[1 0 0]
28,0.09610598741033506,0.07379816513761468,[1 0 0]
29,0.056147540983606484,0.056147540983606484,[1 0 0]
30,0.13689852404245215,0.10144927536231897,[0 1 0]
31,0.012964148527528807,0.001915014750789284,[0 1 0]
32,0.03082658699305313,0.038789682539682485,[0 1 0]
33,0.09154393464702953,0.03225806451612903,[0 1 0]
34,0.09827809036457252,0.07311277616324138,[0 1 0]
35,0.046019156393521866,0.080518018018018,[0 1 0]
36,0.08809265844702657,0.0009242492832352341,[0 1 0]
37,0.043507362784471204,0.007352941176470626,[0 1 0]
38,0.08190234684115281,0.07239760540936302,[0 1 0]
39,0.09647270597991756,0.02220394736842103,[0 1 0]
40,0.07815120394978005,0.0026957308425840185,[0 1 0]
41,0.07928876678876688,0.05208333333333339,[0 1 0]
42,0.06307189542483668,0.4258103975535168,[0 1 0]
43,0.04156954156954175,0.0790339989206692,[0 1 0]
44,0.05902777777777771,0.05902777777777771,[0 1 0]
45,0.1036734338458477,0.08937198067632833,[1 1 0]
46,0.04545454545454549,0.0,[1 1 0]
47,0.09805229417741138,0.062410241874527664,[1 1 0]
48,0.261904761904762,0.03225806451612903,[1 1 0]
49,0.09827809036457252,0.04975490196078436,[1 1 0]
50,0.07442440174039158,0.080518018018018,[1 1 0]
51,0.09594101791660065,0.0,[1 1 0]
52,0.08701472556894241,0.0,[1 1 0]
53,0.052061546852175254,0.0764029458633016,[1 1 0]
54,0.0748387029637029,0.0,[1 1 0]
55,0.09971837197580648,0.0,[1 1 0]
56,0.2777777777777779,0.05208333333333339,[1 1 0]
57,0.09999999999999998,0.375,[1 1 0]
58,0.11606449106449113,0.20000000000000004,[1 1 0]
59,0.1471842744383728,0.1471842744383728,[1 1 0]
60,0.13689852404245215,0.15922619047619052,[0 0 1]
61,0.012964148527528807,0.001915014750789284,[0 0 1]
62,0.015980181697407107,0.10370370370370376,[0 0 1]
63,0.07070389131262289,0.08031614023297494,[0 0 1]
64,0.11599425349906227,0.11934865900383135,[0 0 1]
65,0.04899534686971241,0.09116259116259115,[0 0 1]
66,0.044823212303789356,0.0008990996428750882,[0 0 1]
67,0.039506172839506144,0.002879000865051967,[0 0 1]
68,0.10144545880149815,0.049605567279670665,[0 0 1]
69,0.06259504384504386,0.025110502996212324,[0 0 1]
70,0.08870051319648095,0.0017971538950559665,[0 0 1]
71,0.08301870748299321,0.044715447154471503,[0 0 1]
72,0.06999999999999998,0.058268348623853175,[0 0 1]
73,0.11045184686489032,0.1880014391077537,[0 0 1]
74,0.058333333333333334,0.058333333333333334,[0 0 1]
75,0.09525862068965517,0.30978260869565233,[1 0 1]
76,0.0,0.0,[1 0 1]
77,0.029503105590062258,0.02187500000000002,[1 0 1]
78,0.051144848183175703,0.09374999999999992,[1 0 1]
79,0.11599425349906227,0.0625,[1 0 1]
80,0.09300097362866472,0.3411625911625912,[1 0 1]
81,0.044823212303789356,0.0,[1 0 1]
82,0.0650751152759185,0.0,[1 0 1]
83,0.10356974195322112,0.22819314641744548,[1 0 1]
84,0.04462031024531024,0.0,[1 0 1]
85,0.12223622311827959,0.0,[1 0 1]
86,0.09523809523809516,0.045798248161053115,[1 0 1]
87,0.057549019607843144,0.047499999999999994,[1 0 1]
